"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__CFG_ConfigKeys__c","LLC_BI__CFG_ConfigValue__c","LLC_BI__Product_Type__c","LLC_BI__lookupKey__c","wmx_module__c"
"a0C4v00001qOVXdEAO","","CFG-CKJ00014730","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","","","","a0D4v00000hruCqEAI","a0E4v00000yMDAyEAO","","42398624046769584",""
"a0C4v00001qOVXeEAO","","CFG-CKJ00014731","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","","","","a0D4v00000hruCrEAI","a0E4v00000yMDAyEAO","","42140038977471928",""
"a0C4v00001qOVXfEAO","","CFG-CKJ00014732","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","","","","a0D4v00000hruCqEAI","a0E4v00000yMDAzEAO","","42260813668011038",""
"a0C4v00001qOVXgEAO","","CFG-CKJ00014733","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","","","","a0D4v00000hruCrEAI","a0E4v00000yMDAzEAO","","42170451934920689",""
"a0C4v00001qOVXhEAO","","CFG-CKJ00014734","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","","","","a0D4v00000hruCrEAI","a0E4v00000yMDB0EAO","","42587834079752218",""
"a0C4v00001qOVXiEAO","","CFG-CKJ00014735","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","","","","a0D4v00000hruCqEAI","a0E4v00000yMDB1EAO","","42811388407328277",""
"a0C6g000000GeK5EAK","","CFG-CKJ00014568","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T17:20:24.000Z","0054v00000EIZAcAAP","","","","a0D6g000000r9fGEAQ","a0E6g0000015XYCEA2","","a0C6g000000GeK5EAK",""
"a0C6g000000GeK6EAK","","CFG-CKJ00014569","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T17:20:24.000Z","0054v00000EIZAcAAP","","","","a0D6g000000r9fGEAQ","a0E6g0000015XYAEA2","","a0C6g000000GeK6EAK",""
"a0C6g000000GeK7EAK","","CFG-CKJ00014570","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T17:20:24.000Z","0054v00000EIZAcAAP","","","","a0D6g000000r9fGEAQ","a0E6g0000015XYBEA2","","a0C6g000000GeK7EAK",""
"a0C6g000000GeK8EAK","","CFG-CKJ00014571","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T17:20:25.000Z","0054v00000EIZAcAAP","","","","a0D6g000000r9fGEAQ","a0E6g0000015XY0EAM","","a0C6g000000GeK8EAK",""
"a0C6g000000GeK9EAK","","CFG-CKJ00014572","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T17:20:25.000Z","0054v00000EIZAcAAP","","","","a0D6g000000r9fGEAQ","a0E6g0000015XY9EAM","","a0C6g000000GeK9EAK",""
"a0C6g000000GeKAEA0","","CFG-CKJ00014573","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T17:20:26.000Z","0054v00000EIZAcAAP","","","","a0D6g000000r9fGEAQ","a0E6g0000015XY8EAM","","a0C6g000000GeKAEA0",""
"a0C6g000000GeKBEA0","","CFG-CKJ00014574","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T17:20:26.000Z","0054v00000EIZAcAAP","","","","a0D6g000000r9fHEAQ","a0E6g0000015XYCEA2","","a0C6g000000GeKBEA0",""
"a0C6g000000GeKCEA0","","CFG-CKJ00014575","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-15T17:20:26.000Z","0054v00000EIZAcAAP","","","","a0D6g000000r9fHEAQ","a0E6g0000015XYAEA2","","a0C6g000000GeKCEA0",""
