"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Category__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__fieldValue__c","LLC_BI__lookupKey__c","LLC_BI__Description__c","wmx_module__c"
"a0E4v00000yMDAyEAO","0054v00000EIZAcAAP","","CFG-CV00014371","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","","","","","","Credit Action","Stages_Renewal_Allowed","","Closed Funded","42185243662478545","This Configuration will specify what stage a loan must be in before a specific credit action can be performed on it",""
"a0E4v00000yMDAzEAO","0054v00000EIZAcAAP","","CFG-CV00014372","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","","","","","","Credit Action","Status_Renewal_Allowed","","Open","42094825409076291","This Configuration will specify what status a loan must be in before a specific credit action can be performed on it",""
"a0E4v00000yMDB0EAO","0054v00000EIZAcAAP","","CFG-CV00014373","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","","","","","","Credit Action","Name_Format","","_R","42094279272917437","The value appended to the loan number for loans in process of renewal or modification. To update this appendage, update the fieldValue. The Product Type cannot override the value.",""
"a0E4v00000yMDB1EAO","0054v00000EIZAcAAP","","CFG-CV00014374","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","2021-08-30T17:53:08.000Z","0054v00000EIZAcAAP","","","","","","Credit Action","Name_Format","","_M","42531470882807914","The value appended to the loan number for loans in process of renewal or modification. To update this appendage, update the fieldValue. The Product Type cannot override the value.",""
"a0E6g0000015XXzEAM","0056g000003hlBjAAI","","CFG-CV00000001","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","Document Manager","DM_ReviewerRoles","","nCino Administrator","DM_ReviewerRoles","",""
"a0E6g0000015XY0EAM","0056g000003hlBjAAI","","CFG-CV00000006","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","Loan Status","Declined","","Declined","Declined","",""
"a0E6g0000015XY1EAM","0056g000003hlBjAAI","","CFG-CV00000000","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","Document Manager","DM_AmzOrgBucketName","","","DM_OrgBucketName","",""
"a0E6g0000015XY2EAM","0056g000003hlBjAAI","","CFG-CV00000002","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","Change Memo","CM_Name","","Change Memo","CM_Name","",""
"a0E6g0000015XY3EAM","0056g000003hlBjAAI","","CFG-CV00000003","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","General","CreditRole","","Credit","CreditRole","",""
"a0E6g0000015XY4EAM","0056g000003hlBjAAI","","CFG-CV00000023","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","Renewal_History_In_Progress_String","ALL","","In Progress","REN_HIST_PROG_STR","",""
"a0E6g0000015XY5EAM","0056g000003hlBjAAI","","CFG-CV00000024","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","Renewal_History_Available_String","ALL","","Available","REN_HIST_AVAIL_STR","",""
"a0E6g0000015XY6EAM","0056g000003hlBjAAI","","CFG-CV00000004","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","General","Bankr_BI_Prefix","","LLC_BI__","Bankr_BI_Prefix","",""
"a0E6g0000015XY7EAM","0056g000003hlBjAAI","","CFG-CV00000005","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","Change Memo","CM_Enabled","","Enabled","CM_Enabled","",""
"a0E6g0000015XY8EAM","0056g000003hlBjAAI","","CFG-CV00000007","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","Loan Stage","Complete","","Complete","Complete","",""
"a0E6g0000015XY9EAM","0056g000003hlBjAAI","","CFG-CV00000008","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","Loan Stage","Closed","","Booked","Closed","",""
"a0E6g0000015XYAEA2","0056g000003hlBjAAI","","CFG-CV00000009","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","Change Memo","CM_DocTabLookupKey","","TAB-LOAN-CREDIT","CM_DocTabLookupKey","",""
"a0E6g0000015XYBEA2","0056g000003hlBjAAI","","CFG-CV00000010","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","Change Memo","CM_DocTypeLookupKey","","DM-DT-001","CM_DocTypLookupKey","",""
