"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Product_Line__c","LLC_BI__Usage_Type__c","LLC_BI__configKey__c","LLC_BI__lookupKey__c","LLC_BI__Product_Count__c","LLC_BI__Booked__c","LLC_BI__Is_Deposit__c","LLC_BI__Is_Loan__c","LLC_BI__Product_State_Booked_Config_Count__c","LLC_BI__Closed__c","LLC_BI__Product_State_Closed_Config_Count__c","LLC_BI__Excluded__c","LLC_BI__Product_State_Excluded_Config_Count__c","LLC_BI__Ready_To_Transmit__c","LLC_BI__Product_State_Rdy_To_Trans_Confg_Cnt__c","LLC_BI__Category__c","LLC_BI__Default_Collateral_Type__c","LLC_BI__Default_App__c","LLC_BI__Offer_Fieldset__c","nPortal__Online_Application_Enabled__c","nPortal__Online_Application_Group__c","nPortal__Online_Application_Header_Text__c","nPortal__Online_Application_Subheader_Text__c","LLC_BI__Interest_Accrual_Method__c","LLC_BI__Maintenance_App__c","LLC_BI__Start_Production_Application__c","LLC_BI__Collapsed_Offer_Card_Field_Set__c","LLC_BI__Expanded_Offer_Card_Field_Set__c","LLC_BI__Loan_Information_Field_Set__c","LLC_BI__Recalculate_Offers_Field_Set__c","LLC_BI__Reference_Image__c","nRetail__Display_Monthly_Expenses__c","wmx_module__c","LLC_BI__Is_Mortgage_Insurance_Estimate_Required__c","CSiDP__lookupKey__c"
"a0t6g0000003IoUAAU","","Real Estate","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-05-12T20:03:25.000Z","0056g000003hlBjAAI","","","","","","a0o6g000001DUmTAAW","Loan","KY_PT_00000001","PT-Com-RE","","","","","","","","","","","","","","","","false","","","","","","","","","","","","false","","false",""
"a0t6g0000003IoVAAU","","Real Estate","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-06-12T15:27:53.000Z","0056g000003hlBjAAI","","","","","","a0o6g000001DUmUAAW","Loan","KY_PT_00004200","PT-Consume0541007","","","","","","","","","","","","","","veh-loan-grp","","false","","","","","","","","","","","","false","","false",""
"a0t6g0000003IoWAAU","","Non Real Estate","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-05-12T20:03:25.000Z","0056g000003hlBjAAI","","","","","","a0o6g000001DUmTAAW","Loan","KY_PT_00004198","PT-NonReal0808040","","","","","","","","","","","","","","","","false","","","","","","","","","","","","false","","false",""
"a0t6g0000003IoXAAU","","Non Real Estate","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-05-12T20:03:25.000Z","0056g000003hlBjAAI","","","","","","a0o6g000001DUmUAAW","Loan","KY_PT_00004201","PT-Consume0771309","","","","","","","","","","","","","","","","false","","","","","","","","","","","","false","","false",""
"a0t6g0000003IoYAAU","","Business Banking","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-05-12T19:48:08.000Z","0056g000003hlBjAAI","","","","","","a0o6g000001DUmVAAW","Loan","KY_PT_00000003","PT-BusBanking","","","","","","","","","","","","","","","","false","","","","","","","","","","","","false","","false",""
"a0t6g000004iknvAAA","","Letter of Credit","2020-04-06T15:13:53.000Z","0056g000003hlBjAAI","2020-05-12T20:03:25.000Z","0056g000003hlBjAAI","","","","","","a0o6g000001DUmTAAW","Loan","KY_PT_00004203","PT-Lettero0655650","","","","","","","","","","","","","","","","false","","","","","","","","","","","","false","","false",""
"a0t6g000004iknwAAA","","ODP","2020-04-06T15:13:53.000Z","0056g000003hlBjAAI","2020-05-12T20:03:25.000Z","0056g000003hlBjAAI","","","","","","a0o6g000001DUmTAAW","Loan","KY_PT_00004204","PT-ODP00774053229","","","","","","","","","","","","","","","","false","","","","","","","","","","","","false","","false",""
"a0t6g000004iknxAAA","","SBA","2020-04-06T15:13:53.000Z","0056g000003hlBjAAI","2020-05-12T20:03:25.000Z","0056g000003hlBjAAI","","","","","","a0o6g000001DUmTAAW","Loan","KY_PT_00004205","PT-SBA03011345340","","","","","","","","","","","","","","","","false","","","","","","","","","","","","false","","false",""
"a0t6g000004iknyAAA","","Syndication","2020-04-06T15:13:54.000Z","0056g000003hlBjAAI","2020-05-12T20:03:25.000Z","0056g000003hlBjAAI","","","","","","a0o6g000001DUmTAAW","Loan","KY_PT_00004206","PT-Syndica0606854","","","","","","","","","","","","","","","","false","","","","","","","","","","","","false","","false",""
"a0t6g000004iko0AAA","","Construction","2020-04-06T15:15:06.000Z","0056g000003hlBjAAI","2020-05-12T20:03:25.000Z","0056g000003hlBjAAI","","","","","","a0o6g000001DUmUAAW","Loan","KY_PT_00004207","PT-Constru0372475","","","","","","","","","","","","","","","","false","","","","","","","","","","","","false","","false",""
