"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Condition__c","nFORCE__Conditional_Question__c","nFORCE__Option__c","nFORCE__Question__c","nFORCE__lookupKey__c"
"a2y6g0000001WLOAA2","0056g000003hlBjAAI","","OR-000020","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001sobAAA","a2z6g0000005pWkAAI","a306g0000001soZAAQ",""
"a2y6g0000001WLPAA2","0056g000003hlBjAAI","","OR-000031","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spEAAQ","a2z6g0000005pWyAAI","a306g0000001solAAA",""
"a2y6g0000001WLQAA2","0056g000003hlBjAAI","","OR-000033","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spCAAQ","a2z6g0000005pXLAAY","a306g0000001solAAA",""
"a2y6g0000001WLRAA2","0056g000003hlBjAAI","","OR-000034","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spEAAQ","a2z6g0000005pXOAAY","a306g0000001spBAAQ",""
"a2y6g0000001WLSAA2","0056g000003hlBjAAI","","OR-000036","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spEAAQ","a2z6g0000005pXMAAY","a306g0000001spAAAQ",""
"a2y6g0000001WLTAA2","0056g000003hlBjAAI","","OR-000038","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spBAAQ","a2z6g0000005pXNAAY","a306g0000001spAAAQ",""
"a2y6g0000001WLUAA2","0056g000003hlBjAAI","","OR-000039","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spDAAQ","a2z6g0000005pXPAAY","a306g0000001spBAAQ",""
"a2y6g0000001WLVAA2","0056g000003hlBjAAI","","OR-000040","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spEAAQ","a2z6g0000005pXQAAY","a306g0000001spCAAQ",""
"a2y6g0000001WLWAA2","0056g000003hlBjAAI","","OR-000042","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spAAAQ","a2z6g0000005pXRAAY","a306g0000001spCAAQ",""
"a2y6g0000001WLXAA2","0056g000003hlBjAAI","","OR-000043","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spFAAQ","a2z6g0000005pXUAAY","a306g0000001sotAAA",""
"a2y6g0000001WLYAA2","0056g000003hlBjAAI","","OR-000044","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spFAAQ","a2z6g0000005pXVAAY","a306g0000001sotAAA",""
"a2y6g0000001WLZAA2","0056g000003hlBjAAI","","OR-000045","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spFAAQ","a2z6g0000005pXWAAY","a306g0000001sotAAA",""
"a2y6g0000001WLaAAM","0056g000003hlBjAAI","","OR-000046","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001souAAA","a2z6g0000005pX6AAI","a306g0000001sotAAA",""
"a2y6g0000001WLbAAM","0056g000003hlBjAAI","","OR-000047","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spFAAQ","a2z6g0000005pXXAAY","a306g0000001souAAA",""
"a2y6g0000001WLcAAM","0056g000003hlBjAAI","","OR-000048","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001sovAAA","a2z6g0000005pX7AAI","a306g0000001souAAA",""
"a2y6g0000001WLdAAM","0056g000003hlBjAAI","","OR-000049","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spFAAQ","a2z6g0000005pXYAAY","a306g0000001sovAAA",""
"a2y6g0000001WLeAAM","0056g000003hlBjAAI","","OR-000050","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001sowAAA","a2z6g0000005pX8AAI","a306g0000001sovAAA",""
"a2y6g0000001WLfAAM","0056g000003hlBjAAI","","OR-000051","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","equal to","a306g0000001spFAAQ","a2z6g0000005pXaAAI","a306g0000001sowAAA",""
