"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Form_Type__c","nFORCE__Group__c","nFORCE__Is_Archived__c","nFORCE__Is_Required__c","nFORCE__Label__c","nFORCE__Order__c","nFORCE__lookupKey__c","nFORCE__Api_Key__c","nFORCE__Default_Text_Answer__c","nFORCE__Classification_Tag__c","nFORCE__Help_Text__c","nFORCE__Maximum__c","nFORCE__Minimum__c","nFORCE__Screen_Section__c"
"a306g0000001soZAAQ","0056g000003hlBjAAI","","Q-000061","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zREEAY","false","false","Is this loan secured by a residential dwelling including: 1-2 Family home (condominium) Manufactured housing (with or without land) Multi-family dwelling (five or more units)?","0.0","","","","","","","",""
"a306g0000001soaAAA","0056g000003hlBjAAI","","Q-000065","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zREEAY","true","false","I certify that this loan has been marked HMDA Reportable and the applicable loan details have been populated.","4.0","","","","","","","",""
"a306g0000001sobAAA","0056g000003hlBjAAI","","Q-000062","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zREEAY","false","false","Is this loan purpose to purchase, improve, or refinance a dwelling?","1.0","","","","","","","",""
"a306g0000001socAAA","0056g000003hlBjAAI","","Q-000063","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zREEAY","true","false","Is the loan (not secured by residential dwelling) for the purpose of imporving (repair, rehabilitation, or renovating) a residential dwelling AND the bank classified it as a home improvement loan?","2.0","","","","","","","",""
"a306g0000001sodAAA","0056g000003hlBjAAI","","Q-000064","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zREEAY","false","false","Is this loan a construction-only, bridge loan, or other temporary financing expected to be replaced with permanent financing?","3.0","","","","","","","",""
"a306g0000001soeAAA","0056g000003hlBjAAI","","Q-000066","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zREEAY","true","false","I certify that this loan IS NOT HMDA Reportable.","4.0","","","","","","","",""
"a306g0000001sofAAA","0056g000003hlBjAAI","","Q-000067","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zR8EAI","false","false","Is any borrower, co-borrower, or guarantor an executive officer, director, or principal shareholder of that bank, of a bank holding company of which the member bank is a subsidiary, and of any other subsidiary of that bank holding company?","0.0","","","","","","","",""
"a306g0000001sogAAA","0056g000003hlBjAAI","","Q-000068","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zR8EAI","true","false","If any borrower, co-borrower, or guarantor of this loan is an employee of the bank or any affiliates, I certify I have indicated this is an ""Employee Loan"".","1.0","","","","","","","",""
"a306g0000001sohAAA","0056g000003hlBjAAI","","Q-000069","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zR8EAI","true","false","I certify this loan has been marked as ""Reg O Reportable"".","2.0","","","","","","","",""
"a306g0000001soiAAA","0056g000003hlBjAAI","","Q-000093","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zREEAY","false","false","I certify that this loan has been marked HMDA Reportable and the applicable loan details have been populated.","4.0","","","","","","","",""
"a306g0000001sojAAA","0056g000003hlBjAAI","","Q-000094","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zR8EAI","false","false","If any borrower, co-borrower, or guarantor of this loan is an employee of the bank or any affiliates, I certify I have indicated this is an ""Employee Loan"".","1.0","","","","","","","",""
"a306g0000001sokAAA","0056g000003hlBjAAI","","Q-000091","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zR8EAI","false","false","I certify this loan has been marked as ""Reg O Reportable"".","2.0","","","","","","","",""
"a306g0000001solAAA","0056g000003hlBjAAI","","Q-000070","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zR9EAI","false","false","Is any borrower, co-borrower, or guarantor company directly or indirectly controlled, sponsored, or advised by our bank?","0.0","","","","","","","",""
"a306g0000001somAAA","0056g000003hlBjAAI","","Q-000095","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zR9EAI","false","false","I certify that Reg W applies to this loan.","5.0","","","","","","","",""
"a306g0000001sonAAA","0056g000003hlBjAAI","","Q-000084","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRBEAY","false","false","Is this loan HMDA reportable?","0.0","","","","","","","",""
"a306g0000001sooAAA","0056g000003hlBjAAI","","Q-000085","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRBEAY","false","false","Is this loan a renewal, extension or modification of a previously HMDA reportable file?","1.0","","","","","","","",""
"a306g0000001sopAAA","0056g000003hlBjAAI","","Q-000086","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRBEAY","false","false","Is this loan for business purposes?","2.0","","","","","","","",""
"a306g0000001soqAAA","0056g000003hlBjAAI","","Q-000087","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRBEAY","false","false","Is the loan amount $1 Million or less?","3.0","","","","","","","",""
"a306g0000001sorAAA","0056g000003hlBjAAI","","Q-000088","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRBEAY","false","false","Is this loan an origination?","4.0","","","","","","","",""
"a306g0000001sosAAA","0056g000003hlBjAAI","","Q-000096","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRBEAY","false","false","I certify that this loan is CRA reportable?","6.0","","","","","","","",""
"a306g0000001sotAAA","0056g000003hlBjAAI","","Q-000077","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRAEAY","false","true","Will this loan be used for construction of:","0.0","","","","","","","",""
"a306g0000001souAAA","0056g000003hlBjAAI","","Q-000078","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRAEAY","false","false","Is the LTV ratio less than or equal to the applicable maximum supervisory LTV ratio?","1.0","","","","","","","",""
"a306g0000001sovAAA","0056g000003hlBjAAI","","Q-000079","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRAEAY","false","false","Has the borrower contributed capital to the project in the form of cash or unencumbered readily marketable assets (must contribute to the project) estate's appraised ""as completed"" value?","2.0","","","","","","","",""
"a306g0000001sowAAA","0056g000003hlBjAAI","","Q-000081","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRAEAY","false","false","The borrower contributed the amount of capital required, described above, prior to the bank advancing any dunds under the credit facility?","3.0","","","","","","","",""
"a306g0000001soxAAA","0056g000003hlBjAAI","","Q-000080","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRAEAY","false","false","The capital contributed by the borrower, or internally generated by the project, is contractually required to remain in the project throughout the life of the project?","4.0","","","","","","","",""
"a306g0000001soyAAA","0056g000003hlBjAAI","","Q-000082","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRAEAY","false","false","I certify this transaction has been indicated as a HVCRE reportable transaction?","5.0","","","","","","","",""
"a306g0000001sozAAA","0056g000003hlBjAAI","","Q-000111","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRGEAY","false","false","What is your expected annual revenue?","0.0","513178431673682640","","","","","","",""
"a306g0000001sp0AAA","0056g000003hlBjAAI","","Q-000112","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRGEAY","false","false","What is your expected annual expenses?","1.0","313429191819734764","","","","","","",""
"a306g0000001sp1AAA","0056g000003hlBjAAI","","Q-000113","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","Picklist","a2B6g0000000zRGEAY","false","false","Do you expect to conduct international transactions?","2.0","014462713964017569","","","","","","",""
