"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__App__c","nFORCE__lookupKey__c","nPortal__Context_Type__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nPortal__Is_Portal_Enabled__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","wmx_module__c"
"a2B4v00000bv7mAEAQ","0054v00000EIZAcAAP","","Relationship Loans Treegrid","2021-08-30T17:55:26.000Z","0054v00000EIZAcAAP","2021-08-30T17:55:26.000Z","0054v00000EIZAcAAP","","","","","","relationship-loans-treegrid","rcaui-42640009854","","false","false","","","false","","","","","",""
"a2B6g0000000zR8EAI","0056g000003hlBjAAI","","Reg O Loan Questionnaire","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","42403246748782453","","false","true","","","false","","","","","",""
"a2B6g0000000zR9EAI","0056g000003hlBjAAI","","Reg W","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","42609568878702857","","false","true","","","false","","","","","",""
"a2B6g0000000zRAEAY","0056g000003hlBjAAI","","HVCRE - DNU","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-12T19:05:05.000Z","0054v00000EIZAcAAP","","","","","","HVCRE - DNU","42088290342052409","","false","true","","","false","","","","","",""
"a2B6g0000000zRBEAY","0056g000003hlBjAAI","","CRA - DNU","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-12T19:04:54.000Z","0054v00000EIZAcAAP","","","","","","CRA - DNU","42628075973481801","","false","true","","","false","","","","","",""
"a2B6g0000000zRCEAY","0056g000003hlBjAAI","","Product Package Details","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","pp-details","42543592196307027","","false","false","","","false","","","","","",""
"a2B6g0000000zRDEAY","0056g000003hlBjAAI","","Treasury Proforma","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","treasury-proforma","42632675207231296","","false","false","","","false","","","","","",""
"a2B6g0000000zREEAY","0056g000003hlBjAAI","","HMDA Questionnaire - DNU","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2021-04-12T19:05:17.000Z","0054v00000EIZAcAAP","","","","","","HMDA Questionnaire - DNU","42198546854157256","","false","true","","","false","","","","","",""
"a2B6g0000000zRFEAY","0056g000003hlBjAAI","","Individual KYC","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","42245838511199639","","false","true","","","false","","","","","",""
"a2B6g0000000zRGEAY","0056g000003hlBjAAI","","Business KYC","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","42940369988812827","","false","true","","","false","","","","","",""
"a2B6g0000000zRHEAY","0056g000003hlBjAAI","","Customer Portal","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","customer-portal","42618985083488670","","false","false","","","true","Customer Dashboard","","","","",""
"a2B6g0000000zRIEAY","0056g000003hlBjAAI","","Counterparty Report","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","counterparty-report","42604168176930459","","false","false","","a2G6g000000kCs5EAE","false","","","","","",""
"a2B6g0000000zRJEAY","0056g000003hlBjAAI","","Treasury Service Maintenance","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","treasury-service-maintenance","42328704188845287","","false","false","","a2G6g000000kCs6EAE","false","","","","","",""
"a2B6g0000000zRKEAY","0056g000003hlBjAAI","","Secured Small Business Loan Application","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","portal-sbl-secured","42144815564389495","Applicant","false","false","","","true","","","","","",""
"a2B6g0000000zRLEAY","0056g000003hlBjAAI","","Secured Small Business Loan Application (Individual Other Involved)","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","portal-sbl-secured-other","42658790117959030","Other Involved (Individual)","false","false","a2B6g0000000zRKEAY","","true","","","","","",""
"a2B6g0000000zRMEAY","0056g000003hlBjAAI","","Small Business Loan Application","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","portal-sbloan","42877593676380574","Applicant","false","false","","","true","","","","","",""
"a2B6g0000000zRNEAY","0056g000003hlBjAAI","","Small Business Loan Application (Individual Other Involved)","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","portal-sbl-ind-other","42963370448176169","Other Involved (Individual)","false","false","a2B6g0000000zRMEAY","","true","","","","","",""
"a2B6g0000000zROEAY","0056g000003hlHbAAI","","zzzSession (Not Used) - Vehicle Loan","2020-01-24T21:56:41.000Z","0056g000003hlHbAAI","2020-01-24T21:56:41.000Z","0056g000003hlHVAAY","","","","","","veh-loan-grp","42633052120866545","","false","false","","","false","","","","Packaged - Do not use as this is not maintained (Summer 19)","",""
"a2B6g0000000zRPEAY","0056g000003hlHbAAI","","zzzSession (Not Used) - Unsecured Line of Credit","2020-01-24T21:56:41.000Z","0056g000003hlHbAAI","2020-01-24T21:56:41.000Z","0056g000003hlHVAAY","","","","","","loc","42260030052001085","","false","false","","","false","","","","Packaged - Do not use as this is not maintained (Summer 19)","",""
"a2B6g0000000zRQEAY","0056g000003hlHbAAI","","zzzSession (Not Used) - Unsecured Term Loan","2020-01-24T21:56:41.000Z","0056g000003hlHbAAI","2020-01-24T21:56:41.000Z","0056g000003hlHVAAY","","","","","","term","42522017816930892","","false","false","","","false","","","","Packaged - Do not use as this is not maintained (Summer 19)","",""
"a2B6g0000000zRREAY","0056g000003hlHbAAI","","Session (MASTER) - HELOC Loan","2020-01-24T21:56:41.000Z","0056g000003hlHbAAI","2021-04-19T16:54:34.000Z","0054v00000EIZAcAAP","","","","","","heloc-loan-grp","a2B6g0000000zRREAY","","false","false","","","false","","","","Packaged - This is 1 of 4 packaged Groups used for Retail.  As a Gold Standard, this is the baseline to clone and begin configuration.  The other 3 Session Groups are not maintained at this time (Summer 19)","",""
"a2B6g0000000zRSEAY","0056g000003hlHbAAI","","Retail Loan","2020-01-24T21:56:41.000Z","0056g000003hlHbAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","retail-loan","46461560278745196","","false","false","","","false","","","","","",""
"a2B6g0000000zRTEAY","0056g000003hlHbAAI","","Small Business Loan Workflow","2020-01-24T21:56:41.000Z","0056g000003hlHbAAI","2020-01-24T21:56:41.000Z","0056g000003hlHVAAY","","","","","","sbl-group","42806046586701337","","false","false","","","false","","","","","",""
"a2B6g0000000zRUEAY","0056g000003hlHbAAI","","Unsecured Small Business Loan Workflow","2020-01-24T21:56:41.000Z","0056g000003hlHbAAI","2020-01-24T21:56:41.000Z","0056g000003hlHVAAY","","","","","","sbl-unsec-group","42903851954541033","","false","false","","","false","","","","","",""
"a2B6g0000000zRVEAY","0056g000003hlHbAAI","","MASTER-Loan - Retail","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","m-retail","80561560278865441","","false","false","","","false","","","","","",""
"a2B6g0000000zRWEAY","0056g000003hlBjAAI","","MASTER-Relationship","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","master-relationship","42261562008922327","","false","false","","","false","","","","","",""
