"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__App__c","nFORCE__Body__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Icon_Path__c","nPortal__Portal_Subheader_Text__c","nFORCE__Parameters__c","nPortal__Search_Object_Filter__c","nPortal__Search_Object_Type__c","nPortal__Search_Results_Fieldset__c","nPortal__Search_Select_Active_Text__c","nPortal__Search_Select_Text__c","nFORCE__Body_Type__c","nFORCE__Description__c","wmx_module__c"
"a2E4v000002R7qZEAS","0056g000003hlHVAAY","","Credit Analysis Data Mapping","2021-02-11T03:22:21.000Z","0056g000003hlHVAAY","2021-08-04T23:14:40.000Z","0056g000003hlHVAAY","","","","","","spreads-configuration-data-import","nCRED__Spreads_Import_Administration","","","false","nFORCE__navigation","","","","nFORCE__sub_navigation","","nFORCE__ngtopbar","42151559181283555","","","","mappingType=SpreadsAPIAdmin","","","","","","","",""
"a2E4v000002RScBEAW","0054v00000E7YlgAAF","","Document Preparation","2021-08-26T16:17:05.000Z","0054v00000E7YlgAAF","2021-08-26T16:17:05.000Z","0054v00000E7YlgAAF","","","","","","shared-docprep","nforce__blank","","n-icon-document","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","42755020851317098","","","","","","","","","","","",""
"a2E4v000002RScCEAW","0054v00000E7YlgAAF","","Document Preparation","2021-08-26T16:17:05.000Z","0054v00000E7YlgAAF","2021-08-26T16:17:05.000Z","0054v00000E7YlgAAF","","","","","","shared-docprep-landing","SDPOC__docpreplanding","","n-icon-document","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","42734966202934212","","","","","","","","","","","",""
"a2E4v000002RScDEAW","0054v00000E7YlgAAF","","Confirm","2021-08-26T16:17:05.000Z","0054v00000E7YlgAAF","2021-08-26T16:17:05.000Z","0054v00000E7YlgAAF","","","","","","shared-docprep-review","SDPOC__docprepreview","","n-icon-document","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","42515265282656620","","","","","","","","","","","",""
"a2E4v000002RScEEAW","0054v00000E7YlgAAF","","Document Status","2021-08-26T16:17:05.000Z","0054v00000E7YlgAAF","2021-08-26T16:17:05.000Z","0054v00000E7YlgAAF","","","","","","shared-docprep-status","SDPOC__docprepstatus","","n-icon-document","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","42222616114594959","","","","","","","","","","","",""
"a2E4v000002RScFEAW","0054v00000E7YlgAAF","","Document Completion","2021-08-26T16:17:05.000Z","0054v00000E7YlgAAF","2021-08-26T16:17:05.000Z","0054v00000E7YlgAAF","","","","","","shared-docprep-complete","SDPOC__docprepcompletion","","n-icon-document","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__nctopbar","42118911124765501","","","","","","","","","","","",""
"a2E4v000002RScGEAW","0054v00000E7YlgAAF","","Document Preparation","2021-08-26T16:17:18.000Z","0054v00000E7YlgAAF","2021-08-26T17:24:13.000Z","0054v00000E7XrOAAV","","","","","","docprep","sdpoc__docprepconfiglandingpage","","","false","nforce__navigation","5.0","","","nforce__sub_navigation","","nforce__topbar","42534844703140120","","","","","","","","","","","",""
"a2E4v000002RScHEAW","0054v00000E7YlgAAF","","Event Subscriber","2021-08-26T16:17:18.000Z","0054v00000E7YlgAAF","2021-08-26T17:24:13.000Z","0054v00000E7XrOAAV","","","","","","docprep-event-subscriber-settings","sdpoc__docprepeventsubscriberconfiguration","","","false","nforce__navigation","1.0","","","nforce__sub_navigation","","nforce__topbar","42087425233171195","","","","","","","","","","","",""
"a2E4v000002RSg9EAG","0054v00000EIZAcAAP","","Rate & Payment Structure","2021-08-30T17:51:33.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:33.000Z","0054v00000EIZAcAAP","","","","","","amortization-structure","llc_bi__amortizationstructure","","n-icon-loan","false","nforce__navigation","","","a2G4v000001tUvbEAE","nforce__sub_navigation","","nforce__topbar","42377669494810433","","","","","","","","","","","",""
"a2E4v000002RSgJEAW","0054v00000EIZAcAAP","","All Loans","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","","","","","","list-view-all-loans","llc_bi:relationshipLoans","","","false","","","","a2G4v000001tUvgEAE","","","","rcaui-42010653884","","","","","","","","","","","",""
"a2E4v000002RSgKEAW","0054v00000EIZAcAAP","","Credit Actionable Loans","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","","","","","","list-view-ca-loans","llc_bi:relationshipLoans","","","false","","","","a2G4v000001tUvhEAE","","","","rcaui-42427861687","","","","","","","","","","","",""
