"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","wmx_module__c"
"a2F4v000001pd9lEAA","","Rate & Payment Structure","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2G4v000001tUvbEAE","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","rate-payment-structure","LLC_BI__Loan__c","","","","","","","false","false","",""
"a2F4v000001pd9mEAA","","Rate Structure Details Fixed","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2G4v000001tUvbEAE","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","rate-structure-details-fixed","LLC_BI__Pricing_Rate_Component__c","","","","","","","false","false","",""
"a2F4v000001pd9nEAA","","Rate Structure Details Floating with Index","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2G4v000001tUvbEAE","false","false","false","true","false","2.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","rate-structure-details-floating-with-index","LLC_BI__Pricing_Rate_Component__c","","","","","","","false","false","",""
"a2F4v000001pd9oEAA","","Rate Structure Details Fixed with Index","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2G4v000001tUvbEAE","false","false","false","true","false","3.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","rate-structure-details-fixed-with-index","LLC_BI__Pricing_Rate_Component__c","","","","","","","false","false","",""
"a2F4v000001pd9pEAA","","Rate Structure Table","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2G4v000001tUvbEAE","false","false","false","true","false","4.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","rate-structure-table","LLC_BI__Pricing_Rate_Component__c","","","","","","","false","false","",""
"a2F4v000001pd9qEAA","","Payment Structure Details","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2G4v000001tUvbEAE","false","false","false","true","false","5.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","payment-structure-details","LLC_BI__Pricing_Payment_Component__c","","","","","","","false","false","",""
"a2F4v000001pd9rEAA","","Payment Structure Table","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2G4v000001tUvbEAE","false","false","false","true","false","6.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","payment-structure-table","LLC_BI__Pricing_Payment_Component__c","","","","","","","false","false","",""
"a2F4v000001pd9vEAA","","All Loans View","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","","","","a2G4v000001tUvgEAE","false","false","false","false","false","","slide","true","false","false","false","","false","","","SObjectScreenResource","","rcaui-42370002094","Account","","","","","","","false","false","",""
"a2F4v000001pd9wEAA","","Credit Actions View","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","","","","a2G4v000001tUvhEAE","false","false","false","false","false","","slide","true","false","false","false","","false","","","SObjectScreenResource","","rcaui-42058478834","Account","","","","","","","false","false","",""
"a2F4v000001pd9xEAA","","Credit Actions Workflow View","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","","","","a2G4v000001tUviEAE","false","false","false","false","false","","slide","true","false","false","false","","false","","","SObjectScreenResource","","rcaui-42725427982","Account","","","","","","","false","false","",""
