"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","wmx_module__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2H4v000003Bv0KEAS","","SC-000011538","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2F4v000001pd9lEAA","0.0","LLC_BI__Pricing_Summary","","","","Rate & Payment Structure","42518196854734789","LLC_BI__Loan__c","","","","false","","false"
"a2H4v000003Bv0LEAS","","SC-000011539","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2F4v000001pd9mEAA","0.0","LLC_BI__Fixed_Rate_Additional_Fields","","","","Rate Structure Details Fixed","42292578528311824","LLC_BI__Pricing_Rate_Component__c","","","","false","","false"
"a2H4v000003Bv0MEAS","","SC-000011540","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2F4v000001pd9nEAA","0.0","LLC_BI__Variable_Rate_Additional_Fields","","","","Rate Structure Details Floating with Index","42483970427282617","LLC_BI__Pricing_Rate_Component__c","","","","false","","false"
"a2H4v000003Bv0NEAS","","SC-000011541","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2F4v000001pd9oEAA","0.0","LLC_BI__Fixed_With_Index_Additional_Fields","","","","Rate Structure Details Fixed with Index","42023263086916647","LLC_BI__Pricing_Rate_Component__c","","","","false","","false"
"a2H4v000003Bv0OEAS","","SC-000011542","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2F4v000001pd9pEAA","0.0","LLC_BI__Rate_Structure_Table","","","","Rate Structure Table","42401852229264573","LLC_BI__Pricing_Rate_Component__c","","","","false","","false"
"a2H4v000003Bv0PEAS","","SC-000011543","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2F4v000001pd9qEAA","0.0","LLC_BI__Payment_Component_Extended_Fields","","","","Payment Structure Details","42726085424297352","LLC_BI__Pricing_Payment_Component__c","","","","false","","false"
"a2H4v000003Bv0QEAS","","SC-000011544","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","2021-08-30T17:51:34.000Z","0054v00000EIZAcAAP","","","","a2F4v000001pd9rEAA","0.0","LLC_BI__Payment_Structure_Table","","","","Payment Structure Table","42962901135121170","LLC_BI__Pricing_Payment_Component__c","","","","false","","false"
"a2H4v000003Bv0UEAS","","SC-000011545","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","","","","a2F4v000001pd9vEAA","1.01","LLC_BI__Relationship_Loan_Products","","","","","rcaui-42734592048","LLC_BI__Legal_Entities__c","","","","false","","false"
"a2H4v000003Bv0VEAS","","SC-000011546","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","","","","a2F4v000001pd9wEAA","1.01","LLC_BI__Relationship_Loan_Products","","","","","rcaui-42592357051","LLC_BI__Legal_Entities__c","","","","false","","false"
"a2H4v000003Bv0WEAS","","SC-000011547","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","2021-08-30T17:55:27.000Z","0054v00000EIZAcAAP","","","","a2F4v000001pd9xEAA","1.01","LLC_BI__Relationship_Loan_Products","","","","","rcaui-42703470993","LLC_BI__Legal_Entities__c","","","","false","","false"
