"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Risk_Grade_Factor__c","LLC_BI__Description__c","LLC_BI__High__c","LLC_BI__Low__c","LLC_BI__Risk_Grade__c","LLC_BI__lookupKey__c","LLC_BI__QV_Index__c"
"a0x6g0000003KI4AAM","","RGC-000005387","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7pAAE","","","2.5","1","",""
"a0x6g0000003KI5AAM","","RGC-000005388","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7pAAE","","2.49","1.75","2","",""
"a0x6g0000003KI6AAM","","RGC-000005389","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7pAAE","","1.74","1.1","3","",""
"a0x6g0000003KI7AAM","","RGC-000005390","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7pAAE","","1.09","1.0","4","",""
"a0x6g0000003KI8AAM","","RGC-000005391","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7pAAE","","0.99","0.75","5","",""
"a0x6g0000003KI9AAM","","RGC-000005392","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7pAAE","","0.74","0.5","6","",""
"a0x6g0000003KIAAA2","","RGC-000005393","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7pAAE","","0.49","","7","",""
"a0x6g0000003KIBAA2","","RGC-000005394","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7qAAE","","","751.0","1","",""
"a0x6g0000003KICAA2","","RGC-000005395","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7qAAE","","750.0","725.0","2","",""
"a0x6g0000003KIDAA2","","RGC-000005396","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7qAAE","","724.0","675.0","3","",""
"a0x6g0000003KIEAA2","","RGC-000005397","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7qAAE","","674.0","650.0","4","",""
"a0x6g0000003KIFAA2","","RGC-000005398","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7qAAE","","649.0","625.0","5","",""
"a0x6g0000003KIGAA2","","RGC-000005399","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7qAAE","","624.0","600.0","6","",""
"a0x6g0000003KIHAA2","","RGC-000005400","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7qAAE","","599.0","","7","",""
"a0x6g0000003KIIAA2","","RGC-000005167","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7YAAU","","","2.5","1","",""
"a0x6g0000003KIJAA2","","RGC-000005168","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7YAAU","","2.49","1.75","2","",""
"a0x6g0000003KIKAA2","","RGC-000005169","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7YAAU","","1.74","1.1","3","",""
"a0x6g0000003KILAA2","","RGC-000005170","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7YAAU","","1.09","1.0","4","",""
"a0x6g0000003KIMAA2","","RGC-000005171","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7YAAU","","0.99","0.75","5","",""
"a0x6g0000003KINAA2","","RGC-000005172","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7YAAU","","0.74","0.5","6","",""
"a0x6g0000003KIOAA2","","RGC-000005173","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7YAAU","","0.49","","7","",""
"a0x6g0000003KIPAA2","","RGC-000005174","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7ZAAU","","","751.0","1","",""
"a0x6g0000003KIQAA2","","RGC-000005175","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7ZAAU","","750.0","725.0","2","",""
"a0x6g0000003KIRAA2","","RGC-000005176","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7ZAAU","","724.0","675.0","3","",""
"a0x6g0000003KISAA2","","RGC-000005177","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7ZAAU","","674.0","650.0","4","",""
"a0x6g0000003KITAA2","","RGC-000005178","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7ZAAU","","649.0","625.0","5","",""
"a0x6g0000003KIUAA2","","RGC-000005179","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7ZAAU","","624.0","600.0","6","",""
"a0x6g0000003KIVAA2","","RGC-000005180","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7ZAAU","","599.0","","7","",""
"a0x6g0000003KIWAA2","","RGC-000005181","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7aAAE","","","11.0","1","",""
"a0x6g0000003KIXAA2","","RGC-000005182","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7aAAE","","10.0","9.0","2","",""
"a0x6g0000003KIYAA2","","RGC-000005183","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7aAAE","","8.0","7.0","3","",""
"a0x6g0000003KIZAA2","","RGC-000005184","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7aAAE","","6.0","5.0","4","",""
"a0x6g0000003KIaAAM","","RGC-000005185","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7aAAE","","4.0","3.0","5","",""
"a0x6g0000003KIbAAM","","RGC-000005186","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","a0z6g0000003Q7aAAE","","2.0","1.0","6","",""
