"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Column_Number__c","LLC_BI__Is_Qualitative__c","LLC_BI__Is_Quantitative__c","LLC_BI__Risk_Grade_Template__c","LLC_BI__Type__c","LLC_BI__Units__c","LLC_BI__Weight__c","LLC_BI__lookupKey__c","LLC_BI__Highest__c","LLC_BI__Lowest__c","LLC_BI__Risk_Grade_Group__c"
"a0z6g0000003Q7YAAU","0056g000003hlBjAAI","","Cash Flow Coverage","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","10.0","","","a106g0000001qY4AAI","Quantitative","","0.17","42253595787368907","","",""
"a0z6g0000003Q7ZAAU","0056g000003hlBjAAI","","Credit Score","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","20.0","","","a106g0000001qY4AAI","Quantitative","","0.5","42779701236345379","","",""
"a0z6g0000003Q7aAAE","0056g000003hlBjAAI","","Management Experience (In Years)","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","a106g0000001qY5AAI","Quantitative","","0.1","42552483678835343","","","a226g0000000vFyAAI"
"a0z6g0000003Q7bAAE","0056g000003hlBjAAI","","Subjective Grade","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","a106g0000001qY5AAI","Qualitative","","0.2","42231286728949921","","","a226g0000000vFyAAI"
"a0z6g0000003Q7cAAE","0056g000003hlBjAAI","","Credit Score","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","a106g0000001qY5AAI","Quantitative","","0.1","42810842302748422","","","a226g0000000vFyAAI"
"a0z6g0000003Q7dAAE","0056g000003hlBjAAI","","Cash Flow Coverage","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","a106g0000001qY5AAI","Quantitative","","0.2","42173602393362688","","","a226g0000000vFyAAI"
"a0z6g0000003Q7eAAE","0056g000003hlBjAAI","","Inventory Supply","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","a106g0000001qY5AAI","Qualitative","","0.1","42233000247540720","","","a226g0000000vFyAAI"
"a0z6g0000003Q7fAAE","0056g000003hlBjAAI","","Sr. Level Executive Turnover","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","a106g0000001qY5AAI","Quantitative","","0.1","42361226454102960","","","a226g0000000vFyAAI"
"a0z6g0000003Q7gAAE","0056g000003hlBjAAI","","Global Cash Flow","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","","","","a106g0000001qY5AAI","Quantitative","","0.2","42937378163768697","","","a226g0000000vFyAAI"
"a0z6g0000003Q7hAAE","0056g000003hlBjAAI","","Cash Flow Coverage","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","10.0","","","a106g0000001qYKAAY","Quantitative","","0.17","42473927368349915","","",""
"a0z6g0000003Q7iAAE","0056g000003hlBjAAI","","Credit Score","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","20.0","","","a106g0000001qYKAAY","Quantitative","","0.5","42209042826791389","","",""
"a0z6g0000003Q7jAAE","0056g000003hlBjAAI","","Cash Flow Coverage","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","10.0","","","a106g0000001qY7AAI","Quantitative","","0.17","42920304943659957","","",""
"a0z6g0000003Q7kAAE","0056g000003hlBjAAI","","Credit Score","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","20.0","","","a106g0000001qY7AAI","Quantitative","","0.5","42788656189700232","","",""
"a0z6g0000003Q7lAAE","0056g000003hlBjAAI","","Cash Flow Coverage","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","10.0","","","a106g0000001qY8AAI","Quantitative","","0.17","42509788888498994","","",""
"a0z6g0000003Q7mAAE","0056g000003hlBjAAI","","Credit Score","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","20.0","","","a106g0000001qY8AAI","Quantitative","","0.5","42972685417571179","","",""
"a0z6g0000003Q7nAAE","0056g000003hlBjAAI","","Cash Flow Coverage","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","10.0","","","a106g0000001qY6AAI","Quantitative","","0.17","42707407662851078","","",""
"a0z6g0000003Q7oAAE","0056g000003hlBjAAI","","Credit Score","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","2020-01-24T21:56:41.000Z","0056g000003hlBjAAI","","","","20.0","","","a106g0000001qY6AAI","Quantitative","","0.5","42536200008877959","","",""
