"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category_Name__c","nFORCE__Is_Active__c","nFORCE__Key__c","nFORCE__Value__c","nFORCE__Description__c","nFUSE__Is_Encrypted__c","nFUSE__Value_Data_Type__c","nFORCE__Institution_ID__c","wmx_module__c"
"a1T4v000006q4VYEAY","","7BB1002A_947C_485C_A763_2EA3376ECDB4","00D6g0000052B2qEAE","2021-02-11T02:16:33.000Z","0056g000003hlHUAAY","2021-02-11T02:16:33.000Z","0056g000003hlHUAAY","","Indirect Lending","true","Indirect Lending Individual Identifiers Field Set","LLC_BI__Indirect_Lending_Individual_Identifiers","The system automatically searches for the fields in this field set to determine if the information already exists in the product. By default, this field set contains the First Name, Last Name, Date of Birth, and SSN fields.","false","","",""
"a1T4v000006q4VZEAY","","5FC4AE93_8B73_415E_AB04_B768AEB1AC56","00D6g0000052B2qEAE","2021-02-11T02:16:33.000Z","0056g000003hlHUAAY","2021-02-11T02:16:33.000Z","0056g000003hlHUAAY","","Indirect Lending","true","Indirect Lending Credit Pre-Processing Flow Name","","Stores the API Name of the Flow used for Credit Pre-Processing in the Indirect Lending workflow.","false","","",""
"a1T4v000006q4VdEAI","","42532499131130196","00D6g0000052B2qEAE","2021-02-11T03:36:46.000Z","0056g000003hlI2AAI","2021-02-11T03:36:46.000Z","0056g000003hlI2AAI","","nCino AWS Communicator","true","PLATFORM_AWS_ENDPOINT_URL","https://us-east-1.prod.hosted.ncino.com","","false","","",""
"a1T4v000006q4VeEAI","","42391772030230077","00D6g0000052B2qEAE","2021-02-11T03:36:46.000Z","0056g000003hlI2AAI","2021-02-11T03:36:46.000Z","0056g000003hlI2AAI","","nCino AWS Communicator","true","PLATFORM_AWS_REGION","us-east-1","","false","","",""
"a1T4v000006q4VoEAI","","7C6E4E0C_4520_490A_881B_4064007C3C24","00D6g0000052B2qEAE","2021-02-11T04:33:56.000Z","0056g000003hlHUAAY","2021-02-11T04:33:56.000Z","0056g000003hlHUAAY","","Diagnostics","true","Enable Performance Metrics","false","This system property enables the system to capture performance metrics in certain areas of the product. By default, this setting is disabled.","false","","",""
"a1T4v000006q4VtEAI","","00370F23_5268_4F18_8C47_23626A22121D","00D6g0000052B2qEAE","2021-02-11T06:21:34.000Z","0056g000003hlHUAAY","2021-02-11T06:21:36.000Z","0056g000003hlHUAAY","","Indirect Lending","true","Indirect Lending Feature Auto-Disabled","true","Indicates whether the Indirect Lending feature has been set to disabled by default. Administrators can manually enable the feature via Feature Management. Once this property is set to true, the system will no longer automatically disable the feature.","false","","",""
"a1T4v000006q4VuEAI","","1D300002_6627_453B_B23E_352A3257204C","00D6g0000052B2qEAE","2021-02-11T06:21:34.000Z","0056g000003hlHUAAY","2021-02-11T06:21:34.000Z","0056g000003hlHUAAY","","Indirect Lending","true","IL Configure Default Collateral Type","Titled","This system property allows FIs to set the default desired collateral type for loan applications that are not mapped to a more specific collateral type in the Indirect Lending Automotive Workflow. By default, the Value is set to Type=Titled.","false","","",""
"a1T4v000006q4VvEAI","","370C771B_6D73_434A_8819_7B50727F593D","00D6g0000052B2qEAE","2021-02-11T06:21:34.000Z","0056g000003hlHUAAY","2021-02-11T06:21:34.000Z","0056g000003hlHUAAY","","Indirect Lending","true","IL Configure Default Collateral Subtype","Other Titled","This system property allows FIs to set the default desired collateral subtype for loan applications that are not mapped to a more specific collateral type in the Indirect Lending Automotive Workflow. By default, the Value is to Subtype=Other Titled.","false","","",""
"a1T4v000006q4VwEAI","","0B2C7C15_6758_451B_8017_1A7B161D2C6B","00D6g0000052B2qEAE","2021-02-11T06:21:34.000Z","0056g000003hlHUAAY","2021-02-11T06:21:34.000Z","0056g000003hlHUAAY","","Indirect Lending","true","IL Configure Custom Default Automobile Collateral Type","Titled","This system property permits financial institutions to set the default desired collateral type for loan applications with an incoming value of ‘auto.’ By default, the collateral type associated with ‘auto’ is Type=Titled.","false","","",""
"a1T4v000006q4VxEAI","","6B7F7820_693D_4216_AC7A_5C344F656905","00D6g0000052B2qEAE","2021-02-11T06:21:34.000Z","0056g000003hlHUAAY","2021-02-11T06:21:34.000Z","0056g000003hlHUAAY","","Indirect Lending","true","IL Configure Custom Default Automobile Collateral Subtype","Motor Vehicle","This system property permits financial institutions to set the default desired collateral subtype for loan applications with an incoming value of ‘auto.’ By default, the collateral subtype associated with ‘auto’ is Subtype=Motor Vehicle.","false","","",""
